accountsservice 0.6.55-1
networkmanager-vpnc 1.2.7dev+20+gdca3aea-1
nfs-utils 2.4.3-2
noto-fonts-emoji 20191016-4
npm 6.14.2-1
nss-mdns 0.14.1-2
ntfs-3g 2017.3.23-4
ntp 4.2.8.p13-3
nvidia-440xx-utils 440.64-1
nyancat 1.5.2-1
oneko 1.2.5-4
oomox 1.12.5.3-3
open-fuse-iso 1.1-1
openresolv 3.10.0-1
openssh 8.2p1-3
optimus-manager-qt 1.4.5-1
os-prober 1.77-1
otf-font-awesome 5.12.1-1
otf-font-awesome-4 4.7.0-5
otf-nerd-fonts-fira-code 2.1.0-3
otf-san-francisco 1:1.0-5
p7zip 16.02-5
pa-applet 1.0.2-3
pacman 5.2.1-4
pamac-gtk 9.4.0rc4-2
pandoc 2.9.2-35
patch 2.7.6-8
patchutils 0.3.4-3
pavucontrol 1:4.0-1
pciutils 3.6.4-1
pcmanfm 1.3.1-2
peda-git 1:1.1.101.7f673be-1
perl 5.30.1-1
perl-file-mimeinfo 0.29-2
pkgconf 1.6.3-3
polkit-gnome 0.105-4
polybar 3.4.2-1
poppler-data 0.4.9-1
postman 7.18.0-1
powertop 2.11-1
procps-ng 3.3.15-2
psmisc 23.3-2
pygtk 2.24.0-8
python-homeassistant-cli 0.7.0-1
python-pip 19.3.1-1
python-pywal 3.3.0-2
qt5-styleplugins 5.0.0.20170311-19
qt5ct 0.41-2
ranger 1.9.3.4.gd8c363c9-1
reaper-bin 6.05-1
redshift 1.12-3
reiserfsprogs 3.6.27-3
rofi 1.5.4-1
rslsync 2.6.4-1
rsync 3.1.3-3
s-nail 14.9.17-1
sbxkb 0.7.6-3
sconsify 0.6.0-1
screenfetch 3.9.1-1
sed 4.8-1
shadow 4.8.1-1
shellcheck 0.7.0-162
siji-git r23.c691f20-1
simple-mtpfs 0.3.0-1
simplescreenrecorder-git 0.3.11.r59.g0b17180-1
sl 5.02-5
snapd 2.43.3-2
soapui 5.5.0-1
spacefm 1.0.6-2
spectre-meltdown-checker 0.43-1
speedtest-cli 2.1.2-2
spicetify-cli 0.9.7-1
spotify 1:1.1.10.546-3
sql-workbench 125-2
steam-manjaro 1.0.0.61-7
subversion 1.13.0-2
sudo 1.8.31-1
sysfsutils 2.1.0-11
syslog-ng 3.25.1-4
systemd-fsck-silent 239-1
systemd-sysvcompat 244.3-2
tar 1.32-3
teams 1.3.00.958-1
telegram-desktop 1.9.14-2
terminus-font 4.48-1
texinfo 6.7-2
texlive-bibtexextra 2019.52577-1
texlive-bin 2019.51075-6
texlive-core 2019.52579-1
texlive-fontsextra 2019.52580-1
texlive-formatsextra 2019.51280-1
texlive-games 2019.52525-1
texlive-humanities 2019.52574-1
texlive-langchinese 2019.52237-1
texlive-langcyrillic 2019.52494-1
texlive-langextra 2019.52581-1
texlive-langgreek 2019.51628-1
texlive-langjapanese 2019.52531-1
texlive-langkorean 2019.51035-1
texlive-latexextra 2019.52575-1
texlive-music 2019.52275-1
texlive-pictures 2019.52499-1
texlive-pstricks 2019.52550-1
texlive-publishers 2019.52538-1
texlive-science 2019.52582-1
texmaker 5.0.4-1
thefuck 3.29-2
tldr 0.5-2
tlp 1.3.1-2
toilet 0.3.r155.3eb9d58-1
tomcat8 8.5.51-1
tomcat9 9.0.31-1
touchegg 1.1.1-3
traceroute 2.1.0-5
